Name;Cas Number;E Score;E Color;H Score;H Color;S Score;S Color;EHS Color;Boiling Point (°C);Melting Point (°C);Vapour Pressure (25°C mmHg);Flash Point (°C);Autoignition Temperature (°C);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Solubility Water (20°C g/L);Density (25°C kg/L);Viscosity (25°C mPa.s);Relative Vapour Density (Air=1);Log P Octanol Water (20°C);Refractive Index (20°C);Surface Tension (25°C mN/m);Molar Volume;Relative Evaporation Rate (BuAc=100);Antoine A;Antoine B;Antoine C;Molecular Weight
1,3-propanediol;504-63-2;7;#FF6347;1;#9ACD32;1;#9ACD32;#FFD700;214.4;-26.7;0.044;79.4;405;16.8;13.5;23.2;1000;1.04;40.01;2.6;-1.093;1.439;45.17;72.5;0.03;7.627;1768.7;157.8;76
1,4-dioxane;123-91-1;3;#9ACD32;6;#FFD700;7;#FFD700;#FF6347;101.5;11.8;38.103;12.2;355;17.5;1.8;9;1000;1;1.19;3;0.42;14.224;32.75;85.7;24;7.021;1309.5;214.9;88
1-butanol;71-36-3;3;#9ACD32;4;#FFD700;3;#9ACD32;#9ACD32;117.6;-89;6.698;35;340;16;5.7;15.8;66;0.81;2.544;2.6;0.785;13.988;24.67;92;43;7.57;1422.3;185.6;74
3-methoxybutan-1-ol;2517-43-3;5;#FFD700;1;#9ACD32;3;#9ACD32;#9ACD32;157;-85;0.908;67;305;15.3;5.4;13.6;366.2;0.92;2.28;3.6;0.002;1.408;27.8;113.2;9.1;73.812;1541.7;185.9;104
3-pentanone;96-22-0;3;#9ACD32;2;#9ACD32;5;#FFD700;#9ACD32;101.9;-39;37.653;12.8;425;15.8;7.6;4.7;45.6;0.8;0.45;3;0.85;1.392;24.74;106.4;172;6.931;1254.8;208;86
4-methylpentan-2-one;108-10-1;3;#9ACD32;2;#9ACD32;4;#FFD700;#9ACD32;116.5;-84;19.877;13.3;460;15.3;6.1;4.1;14.1;0.8;0.54;3.45;1.19;13.962;23.6;125.8;162;6.755;1217.8;198.1;100
Acetic acid;64-19-7;3;#9ACD32;7;#FF6347;3;#9ACD32;#FFD700;117.9;16.6;15.676;40;427;14.5;8;13.57;602.9;1.07;1.05;2.1;0.2;1.366;27.1;57.6;40;7.212;1423.5;210.8;60
Acetic anhydride;108-24-7;3;#9ACD32;7;#FF6347;3;#9ACD32;#FFD700;139.5;-73;0.510;49;316;16;11.7;10.2;120;1.08;0.843;3.52;0.577;13.901;31.93;95;23;7.145;1442.6;199.6;102
acetone;67-64-1;5;#FFD700;3;#9ACD32;5;#FFD700;#9ACD32;56;-95;231.019;-20;465;15.5;10.4;7;1000;0.7845;0.306;2;0.24;13.588;23.46;73.8;560;7.126;1219.4;231.1;58
acetonitrile;75-05-8;3;#9ACD32;3;#9ACD32;4;#FFD700;#FFD700;81;-46;8.851;12.8;524;15.3;18;6.1;1000;0.79;0.369;1.42;0.34;1.344;28.66;52.9;230;7.077;1280.8;224.2;41
anisole;100-66-3;5;#FFD700;1;#9ACD32;4;#FFD700;#9ACD32;153.7;-37.5;3.540;44.45;475;17.8;4.4;6.9;1.71;0.95;0.89;3.72;2.11;1.514;35.1;109.2;17;7.026;1472.4;201.7;108
benzene;71-43-2;3;#9ACD32;10;#FF6347;6;#FFD700;#FF6347;80;5.5;94.508;-11;498;18.4;0;2;1.79;0.87;0.61;2.77;2.13;14.979;28.22;89.5;393;6.9;1207.5;220.4;78
Benzyl acetate;140-11-4;7;#FF6347;1;#9ACD32;1;#9ACD32;#FFD700;213;-51.3;0.180;102.2;460;18.3;5.7;6;0.15;1.06;2.3;5.1;2;1.501;35.98;143.7;0.873;7.183;1739;190.7;150
benzyl alcohol;100-51-6;7;#FF6347;2;#9ACD32;1;#9ACD32;#FFD700;205.3;-15.2;0.094;97.5;435;18.4;6.3;13.7;40;1.05;5.13;3.7;1.06;1.539;38.58;103.8;0.6;7.37;1716.7;177.7;108
butan-2-one;78-93-3;3;#9ACD32;3;#9ACD32;5;#FFD700;#9ACD32;79.5;-86.6;95.330;9;404;16;9;5.1;290;0.79;0.4;2.5;0.29;13.788;23.96;90.2;380;6.901;1173;212.2;72
Butyl formate;592-84-7;5;#FFD700;2;#9ACD32;5;#FFD700;#FFD700;107;-92;28.900;18;320;15.7;6.5;9.2;7.6;0.892;30;3.5;1.32;1.391;24.89;115.2;149;6.984;1287;207.5;102
carbon disulfide;75-15-0;7;#FF6347;7;#FF6347;9;#FF6347;#FF6347;46.3;-110.8;300.000;-30;100;20.2;0;0.6;2;1.266;0.36;2.63;1.84;1.624;32;60.6;1010;6.693;1045.1;227.8;76
Carbon tetrachloride;56-23-5;10;#FF6347;7;#FF6347;2;#9ACD32;#FF6347;76.8;-23;114.759;23.2;982;17.8;0;0.6;0.846;1.7;0.91;5.3;2.83;1.457;26.43;97.1;510;6.813;1174.5;222;153
chlorobenzene;108-90-7;7;#FF6347;2;#9ACD32;3;#9ACD32;#FFD700;131;-45;12.000;23;590;19;4.3;2;0.4;1.11;0.753;3.9;2.8;15.241;32.99;102.1;56;6.999;1444.6;219;112
chloroform;67-66-3;5;#FFD700;7;#FF6347;2;#9ACD32;#FF6347;61.1;-63.6;197.011;31.05;624;17.8;3.1;5.7;7.95;1.48;0.54;4.12;1.97;1.446;26.67;80.5;720;6.937;1171.3;227;119
cyclohexane;110-82-7;7;#FF6347;3;#9ACD32;6;#FFD700;#FFD700;81;6.5;9.676;-18;260;16.8;0;0.2;0.052;0.7739;0.894;2.9;3.44;1.427;24.65;108.9;560;6.82;1189.6;221.2;84
cyclohexanol;108-93-0;5;#FFD700;2;#9ACD32;1;#9ACD32;#9ACD32;161;23;1.000;67;300;17.4;4.1;13.5;37.6;0.9684;57.5;3.5;13.114;1.465;33.91;105.7;1;7.438;1586.7;187.2;100
cyclohexanone;108-94-1;5;#FFD700;2;#9ACD32;3;#9ACD32;#9ACD32;155.4;-31;4.328;44;420;17.8;8.4;5.1;86;0.95;2.02;3.4;0.86;1.45;34.56;104.2;29;6.895;1436.7;202.2;98
Cyclopentyl methyl ether;5614-37-9;5;#FFD700;2;#9ACD32;6;#FFD700;#FFD700;106;-134;31.878;-1;180;16.7;4.3;4.3;0.011;0.88;1.34;3.45;1.59;1.421;25.86;116.5;343;69.647;1300.8;219.2;100.16
Cyrene;53716-82-8;7;#FF6347;2;#9ACD32;1;#9ACD32;#FFD700;231.6;-18;0.210;108;296;18.8;10.6;6.9;1000;1.25;8.8;4.45;-0.71;1.484;38.5;101.5;0.4;7.143;1845;192.6;128.126
decanol;112-30-1;7;#FF6347;1;#9ACD32;1;#9ACD32;#FFD700;231.1;6.9;0.008;108;255;16;4.7;10.5;0.0211;0.83;10.99;5.46;4.11;1.439;28.51;191.8;0.163;7.341;1796.5;173;158
Dibenzyl ether;103-50-4;7;#FF6347;1;#9ACD32;1;#9ACD32;#FFD700;295;1.8;0.001;135;455;17.4;3.7;7.4;0.001;0.99735;3.71;6.84;3.4;154.057;0.000000382;190.6;0.001;7.43;1993;149.9;198
